CIRCUIT1  Circuit1
INPUT  1 1
INPUT  4 4
INPUT  11 11
INPUT  14 14
INPUT  17 17
INPUT  20 20
INPUT  23 23
INPUT  24 24
INPUT  25 25
INPUT  26 26
INPUT  27 27
INPUT  31 31
INPUT  34 34
INPUT  37 37
INPUT  40 40
INPUT  43 43
INPUT  46 46
INPUT  49 49
INPUT  52 52
INPUT  53 53
INPUT  54 54
INPUT  61 61
INPUT  64 64
INPUT  67 67
INPUT  70 70
INPUT  73 73
INPUT  76 76
INPUT  79 79
INPUT  80 80
INPUT  81 81
INPUT  82 82
INPUT  83 83
INPUT  86 86
INPUT  87 87
INPUT  88 88
INPUT  91 91
INPUT  94 94
INPUT  97 97
INPUT  100 100
INPUT  103 103
INPUT  106 106
INPUT  109 109
INPUT  112 112
INPUT  113 113
INPUT  114 114
INPUT  115 115
INPUT  116 116
INPUT  117 117
INPUT  118 118
INPUT  119 119
INPUT  120 120
INPUT  121 121
INPUT  122 122
INPUT  123 123
INPUT  126 126
INPUT  127 127
INPUT  128 128
INPUT  129 129
INPUT  130 130
INPUT  131 131
INPUT  132 132
INPUT  135 135
INPUT  136 136
INPUT  137 137
INPUT  140 140
INPUT  141 141
INPUT  145 145
INPUT  146 146
INPUT  149 149
INPUT  152 152
INPUT  155 155
INPUT  158 158
INPUT  161 161
INPUT  164 164
INPUT  167 167
INPUT  170 170
INPUT  173 173
INPUT  176 176
INPUT  179 179
INPUT  182 182
INPUT  185 185
INPUT  188 188
INPUT  191 191
INPUT  194 194
INPUT  197 197
INPUT  200 200
INPUT  203 203
INPUT  206 206
INPUT  209 209
INPUT  210 210
INPUT  217 217
INPUT  218 218
INPUT  225 225
INPUT  226 226
INPUT  233 233
INPUT  234 234
INPUT  241 241
INPUT  242 242
INPUT  245 245
INPUT  248 248
INPUT  251 251
INPUT  254 254
INPUT  257 257
INPUT  264 264
INPUT  265 265
INPUT  272 272
INPUT  273 273
INPUT  280 280
INPUT  281 281
INPUT  288 288
INPUT  289 289
INPUT  292 292
INPUT  293 293
INPUT  299 299
INPUT  302 302
INPUT  307 307
INPUT  308 308
INPUT  315 315
INPUT  316 316
INPUT  323 323
INPUT  324 324
INPUT  331 331
INPUT  332 332
INPUT  335 335
INPUT  338 338
INPUT  341 341
INPUT  348 348
INPUT  351 351
INPUT  358 358
INPUT  361 361
INPUT  366 366
INPUT  369 369
INPUT  372 372
INPUT  373 373
INPUT  374 374
INPUT  386 386
INPUT  389 389
INPUT  400 400
INPUT  411 411
INPUT  422 422
INPUT  435 435
INPUT  446 446
INPUT  457 457
INPUT  468 468
INPUT  479 479
INPUT  490 490
INPUT  503 503
INPUT  514 514
INPUT  523 523
INPUT  534 534
