CIRCUIT1  Circuit1
INPUT  1 1
INPUT  4 4
INPUT  7 7
INPUT  10 10
INPUT  13 13
INPUT  16 16
INPUT  19 19
INPUT  22 22
INPUT  25 25
INPUT  28 28
INPUT  31 31
INPUT  34 34
INPUT  37 37
INPUT  40 40
INPUT  43 43
INPUT  46 46
INPUT  49 49
INPUT  53 53
INPUT  56 56
INPUT  60 60
INPUT  63 63
INPUT  66 66
INPUT  69 69
INPUT  72 72
INPUT  76 76
INPUT  79 79
INPUT  82 82
INPUT  85 85
INPUT  88 88
INPUT  91 91
INPUT  94 94
INPUT  99 99
INPUT  104 104
OUTPUT  2753 2753
OUTPUT  2754 2754
OUTPUT  2755 2755
OUTPUT  2756 2756
OUTPUT  2762 2762
OUTPUT  2767 2767
OUTPUT  2768 2768
OUTPUT  2779 2779
OUTPUT  2780 2780
OUTPUT  2781 2781
OUTPUT  2782 2782
OUTPUT  2783 2783
OUTPUT  2784 2784
OUTPUT  2785 2785
OUTPUT  2786 2786
OUTPUT  2787 2787
OUTPUT  2811 2811
OUTPUT  2886 2886
OUTPUT  2887 2887
OUTPUT  2888 2888
OUTPUT  2889 2889
OUTPUT  2890 2890
OUTPUT  2891 2891
OUTPUT  2892 2892
OUTPUT  2899 2899
NOT 9ns 1  190
NOT 9ns 4  194
NOT 9ns 7  197
NOT 12ns 10  201
NOT 12ns 13  206
NOT 9ns 16  209
NOT 9ns 19  212
NOT 12ns 22  216
NOT 9ns 25  220
NOT 6ns 28  225
NOT 6ns 31  229
NOT 9ns 34  232
NOT 9ns 37  235
NOT 9ns 40  239
NOT 9ns 43  243
NOT 12ns 46  247
NAND 15ns 63  88  251
NAND 12ns 66  91  252
NOT 6ns 72  253
NOT 12ns 72  256
BUFF 24ns 69  257
BUFF 21ns 69  260
NOT 12ns 76  263
NOT 9ns 79  266
NOT 9ns 82  269
NOT 9ns 85  272
NOT 9ns 104  275
NOT 6ns 104  276
NOT 12ns 88  277
NOT 12ns 91  280
BUFF 18ns 94  283
NOT 6ns 94  290
BUFF 18ns 94  297
NOT 9ns 94  300
BUFF 18ns 99  303
NOT 9ns 99  306
NOT 9ns 99  313
BUFF 24ns 104  316
NOT 9ns 104  319
BUFF 21ns 104  326
BUFF 21ns 104  331
NOT 9ns 104  338
BUFF 24ns 1  343
BUFF 24ns 4  346
BUFF 18ns 7  349
BUFF 21ns 10  352
BUFF 18ns 13  355
BUFF 18ns 16  358
BUFF 24ns 19  361
BUFF 21ns 22  364
BUFF 18ns 25  367
BUFF 18ns 28  370
BUFF 18ns 31  373
BUFF 18ns 34  376
BUFF 18ns 37  379
BUFF 21ns 40  382
BUFF 24ns 43  385
BUFF 21ns 46  388
